id,radius,texture,perimeter,area,smoothness,compactness,concave_points,f_dim,radius_err,texture_err,perimeter_err,area_err,smoothness_err,compactness_err,concave_points_err,f_dim_err,category,category_code
1616,0.4882820827445995,0.790711772639115,0.3170384026495217,0.23841939232940396,0.26747042058648696,0.0,0.45714285714285713,0.6251828939650431,0.021546520679428582,0.0032698182112677132,0.010202812287356285,0.00046425255338904364,0.00632483230228786,0.7775456472921769,0.0625,0.0021592201949646992,EOSINOPHIL,0
1794,0.15300411977277434,0.42418770382579274,0.1256649951958081,0.023410260667441476,0.06945439589107393,0.0,0.2,0.5065759066368145,0.06876141641725289,0.006095140737745127,0.025740527862004415,0.004728132387706856,0.024357069618531454,0.48387041525708685,0.14285714285714285,0.0026647685223679628,EOSINOPHIL,0
1845,0.4608774149248391,0.7530538194002421,0.2785473064912893,0.21240799158780233,0.18747556546420888,0.0,0.5142857142857142,0.5259392739029678,0.02282771872205264,0.0034333319710114765,0.011612689244286425,0.0005211047420531526,0.009023605566107214,0.8973384628682052,0.05555555555555555,0.0025666604438535313,EOSINOPHIL,0
187,0.15246058654597222,0.4426172065451851,0.09694527817781622,0.02324423044994189,0.06672281462598628,0.0,0.2571428571428571,0.4512332362892277,0.06900655593423542,0.0058413539189313265,0.03336607383995867,0.004761904761904762,0.025354229516766674,0.807232373960041,0.1111111111111111,0.0029915959677459195,EOSINOPHIL,0
196,0.46814515601408513,0.7452479326937391,0.28256685534751613,0.2191598870994521,0.19352806356394683,0.0,0.6285714285714286,0.5187791001015001,0.022473328748774734,0.003469293426543006,0.011447497287458428,0.000505050505050505,0.00874139659581179,0.8997232937214286,0.045454545454545456,0.002602085415414159,EOSINOPHIL,0
2107,0.09171803359561104,0.19676750512919325,0.05600436309876506,0.008412197686645636,0.029509652459149816,0.0,0.17142857142857143,0.32722918891471503,0.11470786693528087,0.013139790293837295,0.05775770192068618,0.013157894736842105,0.05732719347927797,0.8680068354562246,0.16666666666666666,0.004125266253517557,EOSINOPHIL,0
2183,0.5988532957236717,0.8146293940123226,0.43440652886443815,0.3586252697991034,0.44988612961313135,0.0,0.6285714285714286,0.7067042534273923,0.01756820922315766,0.003173815937704851,0.007446212465019768,0.00030864197530864197,0.0037602972056210615,0.623051387495955,0.045454545454545456,0.0019101449066550532,EOSINOPHIL,0
2313,0.5950056866240425,0.8119880374209366,0.4262048798524079,0.35403176711494827,0.4383929959901927,0.0,0.5714285714285714,0.6436048286092461,0.017681814190624,0.0031841402026700455,0.007589503224919667,0.0003126465530717524,0.0038588790685647216,0.638968317198596,0.05,0.0020974167224829337,EOSINOPHIL,0
2498,0.04585901679780552,0.10994769664051499,0.031236864955899953,0.002103049421661409,0.01860512772812954,0.0,0.05714285714285714,0.23043423170300872,0.22941573387056174,0.02351557907113463,0.10355339163142839,0.05263157894736842,0.09092684451040894,0.6696428439165791,0.5,0.005858103287082802,EOSINOPHIL,0
2634,0.33236341261194374,0.8507750049274866,0.2620487873415545,0.11046543804305717,0.4605530307544512,0.0,0.3142857142857143,0.7947458980986412,0.03165444689164592,0.0030389747454551983,0.012343820946212818,0.001002004008016032,0.0036732046975365223,0.5270313587571668,0.09090909090909091,0.0016985397891644723,EOSINOPHIL,0
2789,0.3487761546054468,0.8935161348830175,0.26662331988480886,0.12164480602136256,0.2623960305960355,0.0,0.37142857142857144,0.7138837425501822,0.030164848870338084,0.0028936061175634563,0.012132034480381733,0.0009099181073703367,0.00644714614085131,0.5606756351025454,0.07692307692307693,0.0018909346854903396,EOSINOPHIL,0
2963,0.30209481329367194,0.6684535390994779,0.22796967165579132,0.09126127621893851,0.19934003136340714,0.0,0.34285714285714286,0.6587496895979977,0.034826086150057556,0.0038678585762628253,0.014189094920487312,0.001212856276531231,0.008486532004943183,0.5751949483301747,0.08333333333333333,0.00204919645733659,EOSINOPHIL,0
3083,0.3818767790406596,0.7464446640254409,0.24636302430409798,0.14582987437046876,0.12774120974387515,0.0,0.4,0.495509090378373,0.0275501956931788,0.003463731310096194,0.013129743472070795,0.0007590132827324478,0.013243224793501263,0.7873637516391018,0.07142857142857142,0.0027242840876339925,EOSINOPHIL,0
3249,0.25738309342754895,0.6646895200859558,0.20264718886188798,0.06624605678233439,0.20867638573793384,0.0,0.3142857142857143,0.640766077195031,0.04087595596566439,0.0038897615742532034,0.01596214252111295,0.001670843776106934,0.008106837532429089,0.5281561602481986,0.09090909090909091,0.002106708794736838,EOSINOPHIL,0
3809,0.06312467995950584,0.07913915715203329,0.04417559819636535,0.003984725219990038,0.015131608588167068,0.0,0.17142857142857143,0.24497966086648781,0.16666666666666663,0.032670094641925634,0.07322330522244043,0.027777777777777776,0.1117994525284541,0.6510416499844198,0.16666666666666666,0.005510284100407361,EOSINOPHIL,0
3859,0.45513774621937125,0.7438005690903171,0.3343891182904778,0.20715036803364878,0.2695494453269541,0.0,0.4,0.5814603402603905,0.023115595400826357,0.0034760443343048956,0.009673410805510835,0.0005343307507347048,0.0062760491084667335,0.6072381483793118,0.07142857142857142,0.0023215814333807836,EOSINOPHIL,0
4055,0.5953311439491307,0.8175991423610123,0.4187880963864882,0.3544191709557806,0.44575569388268227,0.0,0.5428571428571428,0.7490470926647682,0.017672147846090076,0.003162287752128694,0.007723914165724394,0.0003123048094940662,0.0037951406549552,0.6625255382872931,0.05263157894736842,0.0018021664370840016,EOSINOPHIL,0
4130,0.44950948232155774,0.737936465842084,0.33226440254721856,0.20205877469699485,0.2642359783915135,0.0,0.42857142857142855,0.5288053227874189,0.023405023491195023,0.0035036671498389384,0.009735268916316318,0.0005477951246233908,0.006402252888989114,0.5999041196833118,0.06666666666666667,0.002552749512959161,EOSINOPHIL,0
463,0.515947460559375,0.8275819227831558,0.4360714806967292,0.2662017820576678,0.4498810428696208,0.0,0.34285714285714286,0.8764090402050648,0.020391184757154637,0.003124142375348387,0.007417782297865854,0.0004158004158004158,0.003760339722788014,0.4589070201802808,0.08333333333333333,0.0015402711157337446,EOSINOPHIL,0
5642,0.1290672892556115,0.49654707543403154,0.08093441273400882,0.016658365155791686,0.06804246122811428,0.0,0.2857142857142857,0.558366771777688,0.08151391459392222,0.005206925751761167,0.03996672368213933,0.006644518272425249,0.02486249799754365,0.8284768169755435,0.1,0.0024176000407367666,EOSINOPHIL,0
5709,0.49065651465602506,0.7911351691815244,0.3038697877427754,0.24074381537439815,0.2686047643893073,0.0,0.4,0.6432396506349825,0.021442250696755896,0.0032680682830899654,0.010644965181120594,0.0004597701149425287,0.0062981219260132984,0.8546535519080054,0.07142857142857142,0.002098607461252142,EOSINOPHIL,0
5733,0.5985297536115236,0.8144689595740067,0.4205203783926814,0.35823786595827106,0.44832377267779255,0.0,0.6,0.7469201852494997,0.017577705919828834,0.0031744411173035302,0.00769209645078319,0.0003089757454039858,0.0037734014101628976,0.6641603091898721,0.047619047619047616,0.0018072982319320707,EOSINOPHIL,0
